header:
	global_attibutes:
		acknowledgement: this ephemeris file was created using SOAP software of ASC LPI RSSI
	variables:
		- timestamp:
			comment: 1st column
			description: epoch
			units: YYYY-MM-DDTHH:MM:SS.S
		- coord_x:
			comment: 2nd column
			description: X coordinate in geocentric inertial frame
			units: km
		- coord_y:
			comment: 3d column
			description: Y coordinate in geocentric inertial frame
			units: km
		- coord_z:
			comment: 4th column
			description: Z coordinate in geocentric inertial frame
			units: km
		- vel_x:
			comment: 5th column
			description: X velocity component in geocentric inertial frame
			units: km / s
		- vel_y:
			comment: 6th column
			description: Y velocity component in geocentric inertial frame
			units: km / s
		- vel_z:
			comment: 7th column
			description: Z velocity component in geocentric inertial frame
			units: km / s
		- quat_w:
			comment: 8th column
			description: scalar component of rotation quaternion
		- quat_x:
			comment: 9th column
			description: i-component of rotation quaternion
		- quat_y:
			comment: 10th column
			description: j-component of rotation quaternion
		- quat_z:
			comment: 11th column
			description: k-component of rotation quaternion
#End of YAML header
2026-2-18T0:15:3	3753.9453430750464	5783.7134767015377	-0.038736765663456421	-6.38469658245248	4.1323542446600854	-7.1591479571858434e-05	0.83291936665593169	-0.068405489146758994	-0.45126839599296703	0.31292564821057456
2026-2-18T0:15:4	3747.5583623583207	5787.8423089908019	-0.038808343286358953	-6.3892635581533819	4.1253094909520982	-7.1563713504487527e-05	0.8332140071832661	-0.068350609723484723	-0.45090655309055777	0.31267475368187841
2026-2-18T0:15:5	3741.1668185453655	5791.9640939990286	-0.038879892985309181	-6.3938227739764537	4.1182596840024557	-7.1535631968946343e-05	0.8335084113210226	-0.068295710933907031	-0.45054458221936972	0.31242377051676157
2026-2-18T0:15:6	3734.7707193988617	5796.0788266772333	-0.038951414445746485	-6.3983742243180357	4.1112048323292978	-7.1507236782798492e-05	0.83380257898568488	-0.068240792793730964	-0.45018248348210682	0.31217269878640219
2026-2-18T0:15:7	3728.3700726870884	5800.1865019849538	-0.039022907354935174	-6.4029179035837531	4.1041449444570235	-7.1478529778317429e-05	0.83409651009380359	-0.068185855318666791	-0.44982025698150979	0.31192153856200311
2026-2-18T0:15:8	3721.9648861839146	5804.2871148902577	-0.039094371401979189	-6.4074538061885269	4.0970800289162783	-7.1449512802534024e-05	0.83439020456199675	-0.068130898524430092	-0.44945790282035586	0.31167028991479151
2026-2-18T0:15:9	3715.5551676687901	5808.3806603697431	-0.039165806277836911	-6.4119819265565718	4.0900100942439455	-7.1420187717283331e-05	0.83468366230694924	-0.068075922426741639	-0.449095421101459	0.31141895291601907
2026-2-18T0:15:10	3709.1409249267358	5812.4671334085488	-0.03923721167533599	-6.4165022591214163	4.0829351489831369	-7.139055639925083e-05	0.83497688324541364	-0.068020927041327464	-0.44873281192766967	0.31116752763696198
2026-2-18T0:15:11	3702.7221657483342	5816.5465290003613	-0.039308587289188179	-6.4210147983258983	4.0758552016831819	-7.1360620740017663e-05	0.83526986729420938	-0.067965912383918844	-0.4483700754018749	0.31091601414892067
2026-2-18T0:15:12	3696.2988979297202	5820.6188421474199	-0.039379932816004298	-6.4255195386221864	4.0687702608996164	-7.1330382646105038e-05	0.83556261437022328	-0.067910878470252262	-0.4480072116269983	0.31066441252322013
2026-2-18T0:15:13	3689.871129272572	5824.6840678605204	-0.039451247954309168	-6.4300164744717767	4.0616803351941755	-7.1299844039017466e-05	0.83585512439040954	-0.067855825316069457	-0.44764422070599985	0.31041272283120963
2026-2-18T0:15:14	3683.4388675841019	5828.7422011590234	-0.039522532404556616	-6.4345056003455037	4.0545854331347808	-7.1269006855284771e-05	0.83614739727178955	-0.067800752937117334	-0.44728110274187605	0.31016094514426279
2026-2-18T0:15:15	3677.0021206770466	5832.7932370708631	-0.039593785869144547	-6.4389869107235516	4.047485563295532	-7.1237873046502723e-05	0.83643943293145218	-0.067745661349148042	-0.44691785783765992	0.30990907953377772
2026-2-18T0:15:16	3670.5608963696573	5836.8371706325479	-0.039665008052430006	-6.4434604000954581	4.0403807342566953	-7.1206444579372118e-05	0.83673123128655347	-0.067690550567918908	-0.44655448609642062	0.30965712607117668
2026-2-18T0:15:17	3664.1152024856915	5840.8739968891714	-0.039736198660744293	-6.4479260629601258	4.0332709546046948	-7.1174723435736087e-05	0.83702279225431697	-0.067635420609192531	-0.44619098762126402	0.30940508482790618
2026-2-18T0:15:18	3657.6650468544035	5844.9037108944167	-0.03980735740240815	-6.452383893825826	4.0261562329321015	-7.1142711612615789e-05	0.83731411575203352	-0.067580271488736632	-0.44582736251533206	0.30915295587543717
2026-2-18T0:15:19	3651.210437310534	5848.9263077105616	-0.039878483987746939	-6.4568338872102107	4.019036577837622	-7.1110411122243686e-05	0.83760520169706154	-0.067525103222324134	-0.4454636108818032	0.3089007392852649
2026-2-18T0:15:20	3644.7513816943015	5852.9417824084867	-0.039949578129105878	-6.4612760376403164	4.0119119979260889	-7.1077823992094931e-05	0.83789605000682676	-0.06746991582573314	-0.44509973282389192	0.30864843512890855
2026-2-18T0:15:21	3638.287887851393	5856.9501300676784	-0.040020639540865287	-6.465710339652575	4.0047825018084504	-7.1044952264916192e-05	0.83818666059882241	-0.067414709314746982	-0.44473572844484927	0.30839604347791189
